carat,cut,color,clarity,depth,table,price,x,y,z
0.57,Ideal,D,SI1,62.4,56.0,1754,5.29,5.32,3.31
0.7,Good,E,VS2,58.7,63.0,2912,5.69,5.73,3.35
0.3,Premium,E,VS2,59.1,58.0,658,4.37,4.39,2.59
1.56,Ideal,G,VVS2,62.3,54.0,15609,7.41,7.45,4.63
1.51,Premium,H,VS2,61.2,58.0,11188,7.4,7.36,4.52
0.53,Very Good,F,IF,59.6,58.0,2395,5.28,5.32,3.16
0.4,Ideal,I,SI1,61.2,55.0,692,4.77,4.8,2.93
2.11,Ideal,H,SI2,61.5,57.0,12179,8.3,8.25,5.09
0.52,Premium,F,VS2,62.1,59.0,1600,5.12,5.15,3.19
0.3,Ideal,H,VS2,62.2,54.0,491,4.33,4.35,2.7
0.5,Very Good,E,SI2,63.2,61.0,1097,5.05,5.02,3.18
0.32,Premium,H,VS2,62.4,58.0,648,4.36,4.33,2.71
1.03,Very Good,H,VS1,61.9,59.0,6294,6.44,6.49,4.0
2.39,Premium,H,SI1,61.8,58.0,15917,8.57,8.52,5.28
0.53,Ideal,E,VS2,61.4,56.0,1721,5.18,5.25,3.2
0.7,Very Good,I,VVS1,60.9,60.0,2421,5.68,5.71,3.47
0.35,Ideal,E,VS1,61.1,55.0,773,4.56,4.58,2.79
0.31,Ideal,E,VS1,61.6,57.0,734,4.32,4.35,2.67
1.54,Ideal,F,VS1,60.3,57.0,18416,7.49,7.56,4.54
1.16,Ideal,J,IF,60.6,56.0,5519,6.79,6.86,4.14
1.13,Very Good,H,SI2,62.5,62.0,4537,6.59,6.66,4.14
0.51,Ideal,D,VS2,61.8,55.0,1787,5.1,5.16,3.17
0.5,Fair,E,VS2,79.0,73.0,2579,5.21,5.18,4.09
0.4,Very Good,F,VVS2,63.0,57.0,963,4.63,4.7,2.94
0.4,Very Good,E,SI1,62.2,54.4,837,4.72,4.76,2.95
0.3,Ideal,D,VS2,62.4,56.0,911,4.32,4.27,2.68
0.32,Ideal,G,SI1,61.3,57.0,612,4.4,4.37,2.69
0.32,Ideal,G,VVS2,61.9,57.0,936,4.41,4.38,2.72
0.63,Ideal,F,VVS2,61.2,56.0,3351,5.53,5.55,3.39
0.37,Ideal,I,IF,60.7,56.0,754,4.64,4.68,2.83
1.01,Good,D,SI2,63.1,54.0,4260,6.37,6.43,4.04
0.31,Ideal,E,VS2,60.7,57.0,642,4.39,4.41,2.67
0.43,Very Good,F,SI1,62.4,57.0,792,4.79,4.82,3.0
0.56,Premium,G,SI2,59.6,58.0,1103,5.42,5.35,3.21
0.33,Ideal,H,VVS1,61.5,55.0,730,4.44,4.47,2.74
0.4,Good,G,VVS2,61.4,64.0,1050,4.7,4.65,2.87
0.71,Premium,G,SI2,60.8,60.0,2039,5.74,5.78,3.5
0.52,Very Good,F,SI1,60.0,58.0,1261,5.21,5.26,3.14
0.42,Ideal,H,VS1,62.4,57.0,1087,4.79,4.76,2.98
1.05,Very Good,F,VS2,62.0,56.0,6545,6.48,6.52,4.03
1.5,Very Good,J,VVS2,62.2,57.0,9306,7.25,7.31,4.53
0.91,Good,H,VS2,63.8,59.0,3192,5.99,5.96,3.82
0.5,Very Good,E,SI2,61.3,56.0,1154,5.08,5.13,3.13
0.3,Premium,F,SI2,61.3,58.0,506,4.33,4.28,2.64
0.51,Ideal,E,VS2,61.9,55.0,1675,5.1,5.14,3.17
1.13,Ideal,F,VS2,62.1,56.0,7504,6.71,6.65,4.15
1.79,Premium,G,SI1,60.5,58.0,14127,7.88,7.83,4.75
0.56,Ideal,G,VS2,61.9,55.0,1698,5.32,5.28,3.28
2.2,Ideal,H,VS2,61.7,55.0,17460,8.41,8.38,5.18
1.31,Premium,H,SI2,60.8,58.0,6529,7.13,7.08,4.32
0.39,Premium,E,VS2,61.3,61.0,951,4.7,4.66,2.87
0.42,Ideal,I,VVS1,62.0,55.0,884,4.8,4.88,3.0
1.23,Premium,F,VS1,61.3,60.0,9319,6.9,6.94,4.24
1.08,Fair,J,VS2,65.1,54.0,3980,6.47,6.44,4.2
0.31,Ideal,G,VS2,62.2,56.0,544,4.31,4.34,2.69
0.42,Ideal,D,VVS2,61.4,56.0,1326,4.82,4.85,2.97
0.41,Premium,D,VVS2,62.5,58.0,1356,4.75,4.72,2.96
1.02,Premium,H,VS2,60.2,62.0,5432,6.54,6.46,3.91
0.7,Premium,E,SI1,61.0,56.0,2576,5.75,5.69,3.49
0.59,Ideal,D,VS2,61.4,57.0,1978,5.39,5.4,3.31
0.82,Ideal,F,VS2,61.9,57.0,3453,5.99,5.96,3.7
0.39,Ideal,G,VVS2,60.7,55.0,902,4.75,4.78,2.89
0.96,Ideal,F,SI2,60.9,60.0,4500,6.31,6.36,3.86
0.53,Ideal,G,SI1,61.0,56.0,1284,5.23,5.26,3.2
1.01,Very Good,E,VS2,62.6,59.0,6956,6.35,6.39,3.99
0.43,Very Good,G,VS1,62.2,59.0,943,4.81,4.84,3.0
1.0,Ideal,H,VS2,61.2,60.0,6133,6.4,6.45,3.93
1.01,Fair,F,SI1,66.1,60.0,3197,6.15,6.13,4.06
1.04,Ideal,E,SI1,62.0,57.0,4530,6.47,6.5,4.02
0.56,Ideal,H,IF,61.3,56.0,2135,5.32,5.35,3.27
0.5,Ideal,E,SI2,61.4,57.0,1154,5.09,5.14,3.14
0.41,Ideal,G,VVS2,62.5,55.0,1007,4.75,4.76,2.97
2.0,Very Good,I,VS2,60.4,60.0,16459,8.14,8.19,4.93
1.55,Very Good,H,SI2,62.5,61.0,8174,7.31,7.34,4.58
0.71,Very Good,F,SI1,62.1,58.0,2221,5.64,5.72,3.53
0.31,Ideal,G,SI2,62.0,54.0,436,4.38,4.42,2.73
0.55,Ideal,F,VS2,61.7,57.0,1819,5.29,5.24,3.25
0.23,Ideal,E,VS2,61.8,54.0,548,3.94,3.96,2.44
0.24,Very Good,D,VS2,60.2,59.0,419,4.03,4.04,2.43
0.35,Premium,G,VS1,61.2,58.0,706,4.51,4.54,2.77
0.55,Ideal,I,VS2,61.6,55.0,1281,5.27,5.29,3.25
1.06,Ideal,I,SI2,61.8,57.0,4270,6.57,6.6,4.07
0.35,Ideal,D,SI1,60.7,57.0,644,4.53,4.57,2.76
0.53,Premium,J,VS2,62.7,56.0,1093,5.18,5.15,3.24
0.7,Good,J,SI2,61.2,64.0,1824,5.68,5.73,3.49
0.41,Ideal,D,VS1,62.1,56.0,1151,4.77,4.8,2.97
0.81,Ideal,H,SI2,63.0,57.0,2313,5.94,5.9,3.73
1.51,Premium,E,SI1,61.5,61.0,11565,7.41,7.31,4.53
1.68,Premium,F,SI1,60.7,62.0,12681,7.72,7.66,4.67
0.31,Very Good,H,VS2,63.0,57.0,489,4.32,4.34,2.73
0.9,Fair,D,SI2,65.7,60.0,3205,5.98,5.93,3.91
0.92,Premium,E,SI2,61.7,59.0,4011,6.18,6.27,3.84
0.43,Ideal,E,SI1,61.2,56.2,803,4.87,4.89,2.99
0.39,Ideal,G,VS1,62.6,55.0,1008,4.66,4.69,2.93
0.53,Very Good,G,VS2,62.5,56.0,1450,5.16,5.18,3.23
1.61,Ideal,I,SI1,62.7,55.0,9611,7.54,7.48,4.71
0.97,Very Good,F,SI2,59.6,59.0,3977,6.41,6.47,3.84
0.3,Ideal,G,VVS2,62.7,57.0,878,4.32,4.26,2.69
0.24,Very Good,H,VVS2,61.5,56.0,449,3.99,4.01,2.46
0.32,Ideal,G,VS2,61.4,57.0,720,4.4,4.39,2.7
1.01,Very Good,D,VS2,62.8,57.0,7278,6.33,6.4,4.0
1.12,Premium,H,SI1,61.6,59.0,5363,6.67,6.63,4.1
0.3,Premium,E,SI1,61.3,60.0,526,4.27,4.31,2.63
0.31,Ideal,D,VS2,62.5,56.0,942,4.32,4.29,2.69
1.5,Good,I,SI1,63.8,56.0,6224,7.26,7.15,4.59
0.31,Premium,G,VVS1,60.4,59.0,1046,4.41,4.37,2.65
0.41,Ideal,J,VS1,62.7,54.0,648,4.75,4.79,2.99
0.5,Ideal,D,VS1,61.1,56.0,1922,5.12,5.23,3.16
0.41,Premium,E,SI1,61.2,59.0,904,4.82,4.78,2.94
0.32,Ideal,G,VVS2,61.1,55.0,936,4.45,4.42,2.71
0.31,Premium,E,VS2,61.3,60.0,872,4.39,4.32,2.67
1.0,Premium,H,SI2,61.3,58.0,3920,6.45,6.41,3.94
0.31,Premium,E,VS2,61.6,59.0,872,4.35,4.32,2.67
0.33,Premium,D,SI2,62.1,58.0,492,4.4,4.43,2.74
0.9,Very Good,F,SI2,63.1,56.0,3457,6.18,6.12,3.88
0.93,Ideal,H,VS1,61.8,55.0,5375,6.28,6.26,3.88
0.39,Ideal,F,VVS1,62.3,55.0,1124,4.67,4.7,2.92
0.42,Ideal,H,IF,61.6,56.0,1126,4.84,4.87,2.99
0.51,Ideal,I,SI2,61.3,55.0,991,5.18,5.19,3.18
2.4,Ideal,J,SI1,62.7,57.0,16687,8.6,8.5,5.36
1.53,Premium,H,VS2,62.7,56.0,11104,7.39,7.31,4.61
0.4,Very Good,F,SI2,62.1,57.0,579,4.7,4.74,2.93
0.32,Ideal,G,SI1,61.5,55.0,647,4.4,4.44,2.72
0.93,Very Good,F,SI1,61.1,58.0,4534,6.26,6.3,3.84
0.4,Very Good,D,VVS2,62.6,55.0,1168,4.7,4.72,2.95
1.2,Ideal,I,SI1,61.5,60.0,5655,6.85,6.8,4.2
0.53,Ideal,H,VS1,62.3,54.0,1449,5.18,5.22,3.24
0.74,Good,J,VS2,60.6,62.6,1912,5.79,5.85,3.53
1.07,Ideal,G,SI2,61.7,57.0,4421,6.55,6.59,4.05
1.0,Very Good,E,VS2,62.9,59.0,6245,6.27,6.38,3.98
0.9,Premium,J,VS2,59.8,62.0,2863,6.24,6.21,3.72
0.7,Ideal,E,VS1,62.6,55.0,3167,5.66,5.69,3.55
2.12,Premium,J,SI2,62.3,61.0,12140,8.21,8.16,5.1
0.5,Premium,F,VS2,62.2,59.0,1436,5.06,5.1,3.16
0.71,Premium,G,SI2,62.1,58.0,2208,5.72,5.68,3.54
0.3,Premium,D,SI1,62.5,59.0,520,4.26,4.22,2.65
0.5,Very Good,E,VS2,62.8,60.0,1559,5.02,5.08,3.17
0.4,Very Good,G,VS2,61.9,59.0,772,4.67,4.7,2.9
0.54,Ideal,D,VS2,61.3,56.0,1993,5.26,5.22,3.21
0.32,Ideal,F,SI1,61.3,55.0,491,4.44,4.47,2.73
0.33,Ideal,G,VVS2,60.4,57.0,761,4.48,4.52,2.72
0.77,Premium,E,SI1,59.8,61.0,2889,5.99,5.95,3.57
1.2,Premium,G,VS2,59.4,58.0,7258,6.91,6.85,4.09
0.85,Fair,H,I1,66.7,59.0,1324,5.86,5.78,3.88
1.13,Ideal,F,VVS1,61.7,56.0,11051,6.68,6.75,4.14
0.32,Ideal,D,SI1,62.6,55.0,756,4.39,4.36,2.74
0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56
0.93,Good,H,VS1,59.1,64.0,3500,6.36,6.27,3.73
2.57,Premium,D,SI2,58.9,58.0,17924,8.99,8.94,5.28
0.3,Ideal,E,VS2,62.6,54.0,658,4.29,4.33,2.7
2.31,Very Good,J,VS2,59.7,60.0,14830,8.53,8.59,5.11
1.01,Premium,H,VS2,62.6,60.0,4745,6.39,6.36,3.99
1.2,Ideal,G,VS2,61.9,56.0,7548,6.86,6.81,4.23
0.34,Ideal,G,IF,61.7,55.0,1014,4.48,4.5,2.77
0.56,Ideal,G,VVS1,62.0,56.0,2202,5.28,5.3,3.28
0.33,Ideal,F,IF,61.2,56.0,1240,4.47,4.49,2.74
0.26,Ideal,E,VVS1,62.0,56.0,769,4.13,4.09,2.55
0.7,Good,D,VVS2,63.3,54.0,3267,5.6,5.64,3.56
1.23,Ideal,F,VS1,61.3,57.0,8523,6.86,6.93,4.23
1.01,Premium,E,SI1,61.0,59.0,5646,6.44,6.47,3.94
0.56,Ideal,F,SI1,60.1,58.0,1394,5.36,5.39,3.23
1.08,Very Good,F,SI2,63.1,59.0,3590,6.51,6.46,4.09
0.34,Ideal,H,VS1,62.5,57.0,596,4.43,4.46,2.78
0.32,Ideal,I,VS2,62.2,57.0,576,4.42,4.39,2.74
1.54,Premium,I,SI1,60.8,61.0,8969,7.48,7.41,4.53
0.71,Very Good,H,VS1,62.7,57.0,2559,5.66,5.72,3.57
0.81,Very Good,E,VS2,62.8,57.0,3839,5.9,5.95,3.72
0.73,Very Good,E,VS2,63.1,55.0,3066,5.77,5.71,3.62
0.52,Ideal,D,VVS2,59.9,57.0,2334,5.28,5.21,3.14
0.33,Ideal,G,IF,60.9,57.0,946,4.45,4.48,2.72
0.53,Good,H,SI1,63.7,55.0,1132,5.12,5.15,3.27
1.01,Very Good,F,VS1,59.9,59.0,6825,6.52,6.57,3.92
0.36,Ideal,J,VVS2,61.7,55.0,525,4.61,4.63,2.85
0.27,Ideal,H,IF,61.6,56.0,566,4.18,4.21,2.58
0.36,Premium,E,VS2,62.5,58.0,878,4.57,4.52,2.84
1.45,Premium,H,VS1,60.6,60.0,8550,7.27,7.16,4.37
0.5,Good,F,VS2,64.0,57.0,1323,5.08,5.04,3.23
0.5,Ideal,G,VVS2,62.9,57.0,1935,5.11,5.04,3.19
0.53,Ideal,G,IF,60.6,56.0,2293,5.27,5.33,3.21
1.15,Ideal,I,VS1,62.1,55.0,5626,6.76,6.67,4.18
1.53,Ideal,G,VVS2,61.0,55.0,15505,7.5,7.44,4.56
0.7,Ideal,E,SI2,62.9,56.0,2100,5.66,5.6,3.54
0.7,Very Good,F,SI1,63.4,59.0,2264,5.59,5.64,3.56
0.82,Premium,I,VS2,62.6,59.0,2648,5.91,5.87,3.69
1.16,Premium,H,SI1,60.2,59.0,5480,6.84,6.77,4.1
0.65,Ideal,E,SI1,62.7,54.0,1989,5.58,5.56,3.49
0.58,Very Good,E,VS2,61.1,63.0,1566,5.41,5.33,3.28
1.61,Very Good,G,SI1,62.6,56.0,12028,7.44,7.54,4.69
0.38,Ideal,E,VS1,61.6,56.0,1069,4.67,4.65,2.87
1.52,Ideal,D,SI1,61.2,57.0,13329,7.47,7.4,4.55
0.32,Ideal,E,IF,60.6,60.0,1004,4.43,4.45,2.69
0.9,Fair,E,SI2,65.8,58.0,3084,6.02,5.98,3.95
1.14,Ideal,I,SI1,61.8,57.0,4724,6.76,6.68,4.15
0.3,Ideal,F,VS1,62.3,53.8,652,4.3,4.33,2.69
1.61,Very Good,J,VS2,61.7,59.0,7703,7.46,7.51,4.62
0.59,Premium,D,VS1,61.9,58.0,2326,5.37,5.32,3.31
0.41,Premium,G,VVS1,59.7,60.0,1074,4.83,4.85,2.89
1.5,Premium,F,SI1,62.2,58.0,12030,7.34,7.29,4.55
0.72,Very Good,J,VVS1,61.4,61.0,2093,5.7,5.77,3.52
0.51,Good,E,SI1,57.4,62.0,1266,5.24,5.29,3.02
0.5,Good,F,SI1,57.9,62.0,1231,5.21,5.18,3.01
0.55,Ideal,E,VS2,62.0,56.0,1639,5.26,5.25,3.26
1.01,Good,G,SI1,63.6,58.0,4195,6.29,6.35,4.02
1.59,Premium,E,VS2,62.3,59.0,15111,7.38,7.43,4.61
1.26,Ideal,E,VS1,61.2,56.0,11323,6.97,6.93,4.25
0.51,Ideal,G,VS2,61.9,55.0,1450,5.07,5.1,3.15
1.04,Premium,I,SI2,61.6,58.0,3512,6.58,6.47,4.02
0.85,Very Good,F,VS2,62.2,56.0,3705,6.01,6.08,3.76
0.73,Very Good,F,VVS2,63.8,59.0,3669,5.69,5.72,3.64
0.3,Premium,G,VS1,61.8,59.0,776,4.37,4.34,2.69
1.5,Very Good,D,SI1,63.5,57.0,11352,7.23,7.28,4.61
1.21,Ideal,F,VS2,61.3,56.0,9397,6.86,6.91,4.22
0.4,Very Good,H,VS2,63.1,62.0,895,4.75,4.66,2.97
1.07,Very Good,E,SI1,60.4,63.0,4314,6.67,6.6,4.01
0.52,Very Good,I,VVS2,61.9,56.0,1289,5.16,5.18,3.2
0.4,Ideal,E,SI2,61.0,58.0,629,4.76,4.78,2.91
2.02,Premium,E,SI2,58.2,60.0,17938,8.32,8.25,4.82
1.69,Ideal,I,VS2,60.5,56.0,13645,7.74,7.77,4.69
0.59,Good,D,SI1,63.8,57.0,1431,5.31,5.26,3.37
1.02,Ideal,E,SI2,62.7,57.0,4585,6.35,6.44,4.01
0.4,Good,G,SI1,63.1,56.0,655,4.72,4.75,2.99
0.72,Ideal,F,VS2,61.9,54.0,2568,5.77,5.74,3.56
1.05,Ideal,F,SI2,60.9,56.0,4591,6.56,6.64,4.02
0.5,Very Good,H,VS2,61.8,63.0,1074,5.05,5.08,3.13
0.75,Ideal,E,SI1,62.1,55.0,3170,5.81,5.85,3.62
0.26,Ideal,E,VVS2,62.5,55.0,724,4.09,4.07,2.55
1.01,Ideal,G,SI2,61.2,57.0,4038,6.45,6.4,3.92
0.59,Very Good,F,VS1,61.7,59.0,2034,5.35,5.38,3.31
1.01,Ideal,E,SI1,61.9,56.0,5571,6.43,6.47,3.99
0.53,Ideal,H,SI1,62.2,54.0,1205,5.18,5.23,3.24
0.54,Ideal,E,VS2,61.6,56.0,1774,5.24,5.28,3.24
0.75,Very Good,F,SI2,60.5,57.0,2274,5.88,5.95,3.58
0.54,Ideal,H,VS1,60.9,55.0,1762,5.28,5.3,3.22
0.56,Ideal,E,VVS2,62.6,54.0,2441,5.28,5.32,3.32
0.32,Ideal,F,VVS2,61.9,57.0,786,4.36,4.39,2.71
0.31,Premium,E,VS2,60.8,58.0,872,4.37,4.35,2.65
0.35,Premium,E,VS2,60.7,60.0,984,4.58,4.55,2.77
0.3,Ideal,G,SI1,62.3,54.0,469,4.29,4.32,2.68
0.3,Ideal,D,SI1,62.5,57.0,709,4.28,4.26,2.67
0.61,Very Good,G,IF,63.0,58.0,2411,5.36,5.43,3.4
0.36,Premium,F,SI1,61.6,60.0,770,4.61,4.54,2.82
0.3,Ideal,G,VVS2,61.5,57.0,878,4.33,4.29,2.65
1.0,Fair,F,SI1,62.6,59.0,4925,6.25,6.3,3.93
0.94,Premium,E,SI2,62.4,58.0,4027,6.33,6.26,3.93
1.14,Good,E,SI1,60.9,64.0,5899,6.78,6.68,4.09
0.4,Ideal,I,IF,62.2,56.0,982,4.71,4.75,2.94
1.63,Ideal,E,SI1,60.5,59.0,14022,7.66,7.62,4.62
0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66
0.4,Premium,F,VS1,62.9,58.0,1050,4.71,4.67,2.95
0.83,Good,J,SI1,63.8,58.0,2311,5.97,5.95,3.8
0.31,Ideal,D,SI1,61.5,56.0,571,4.33,4.35,2.67
2.15,Premium,H,I1,62.9,57.0,6357,8.25,8.2,5.18
2.32,Fair,H,I1,70.5,55.0,6860,7.93,7.9,5.58
0.35,Premium,H,SI1,62.4,58.0,504,4.47,4.54,2.81
0.39,Ideal,E,VVS2,61.9,55.0,1034,4.7,4.73,2.92
0.56,Ideal,F,SI1,62.3,55.0,1436,5.27,5.32,3.3
1.0,Very Good,G,VVS2,62.1,59.0,7242,6.34,6.45,3.97
0.9,Good,G,VVS2,62.6,63.0,4485,6.1,6.14,3.83
0.6,Good,D,SI1,63.8,57.0,1944,5.32,5.27,3.38
0.7,Fair,G,VS2,65.3,57.0,2338,5.58,5.47,3.61
1.18,Very Good,J,SI2,62.2,58.0,4353,6.74,6.79,4.21
1.72,Premium,F,I1,60.5,59.0,7089,7.8,7.71,4.69
0.34,Very Good,D,VS2,59.5,56.0,698,4.55,4.59,2.72
0.31,Premium,D,VVS1,62.1,59.0,942,4.38,4.32,2.7
1.2,Premium,E,VVS1,60.6,60.0,14192,6.95,6.85,4.18
1.55,Premium,J,SI1,62.5,58.0,7502,7.36,7.4,4.61
0.38,Premium,E,VS1,60.7,59.0,1000,4.69,4.73,2.86
1.1,Ideal,H,VS1,62.3,55.0,6586,6.57,6.61,4.1
0.58,Ideal,F,VS1,61.4,56.0,1953,5.38,5.4,3.31
1.21,Very Good,G,VS2,62.0,58.0,7787,6.73,6.82,4.2
1.06,Very Good,G,SI2,61.1,62.0,4162,6.55,6.61,4.02
0.71,Very Good,G,SI1,62.3,57.0,2104,5.7,5.76,3.57
0.41,Very Good,H,VVS1,61.4,60.0,1043,4.73,4.78,2.92
0.23,Premium,E,VS1,61.8,60.0,400,3.91,3.95,2.43
0.3,Very Good,G,VVS1,62.1,61.0,789,4.27,4.3,2.66
0.77,Premium,E,SI2,59.8,56.0,2723,6.01,5.96,3.58
1.17,Ideal,F,VS1,62.2,56.0,8806,6.77,6.74,4.2
1.57,Ideal,H,SI2,60.7,57.0,9298,7.49,7.54,4.56
1.01,Ideal,D,VS2,62.6,55.0,8279,6.42,6.46,4.03
0.32,Premium,F,VS2,61.0,61.0,828,4.41,4.38,2.68
1.04,Ideal,H,VS2,60.7,56.0,5805,6.56,6.61,4.0
1.11,Premium,F,VS2,63.0,56.0,6589,6.62,6.49,4.15
1.0,Good,H,SI2,57.9,62.0,4592,6.53,6.49,3.77
0.8,Very Good,F,SI1,63.5,55.0,2914,5.86,5.89,3.73
0.91,Ideal,H,SI1,62.0,56.0,4337,6.19,6.22,3.85
1.13,Fair,F,SI2,64.4,56.0,4176,6.58,6.52,4.22
1.01,Premium,F,VVS1,60.8,58.0,10341,6.55,6.48,3.96
0.9,Good,E,IF,63.6,56.0,6804,6.11,6.02,3.86
0.41,Very Good,G,SI2,59.6,60.0,621,4.82,4.85,2.88
0.5,Very Good,G,VS1,59.4,60.0,1624,5.13,5.17,3.06
1.01,Ideal,G,VS1,62.9,57.0,6176,6.43,6.39,4.03
1.2,Premium,I,VS2,61.8,55.0,5699,6.93,6.8,4.24
1.02,Premium,F,SI2,62.5,57.0,4570,6.47,6.43,4.03
0.67,Premium,H,VVS2,60.6,61.0,2171,5.65,5.61,3.41
0.31,Premium,E,VS2,60.6,59.0,872,4.39,4.36,2.65
1.01,Very Good,J,VS2,59.3,59.0,4120,6.5,6.58,3.88
0.71,Ideal,I,VS1,61.6,54.7,2397,5.71,5.85,3.54
0.35,Ideal,E,VS2,62.0,55.0,984,4.54,4.52,2.81
0.43,Premium,F,SI2,60.2,60.0,679,4.85,4.91,2.94
0.32,Very Good,H,VVS1,61.2,57.0,672,4.39,4.42,2.69
0.9,Very Good,D,VS1,59.1,60.0,5795,6.24,6.28,3.7
1.0,Premium,D,VS1,62.7,62.0,7812,6.23,6.21,3.9
1.0,Ideal,F,VS2,61.7,58.0,6424,6.37,6.43,3.95
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3
0.3,Ideal,J,VVS1,61.8,56.0,464,4.31,4.33,2.67
0.31,Ideal,F,SI1,62.3,55.0,490,4.34,4.39,2.72
1.18,Premium,G,VS2,62.3,62.0,7137,6.72,6.69,4.18
0.56,Premium,F,VS2,59.6,58.0,1654,5.34,5.36,3.19
1.22,Ideal,F,VS1,62.3,57.0,10100,6.83,6.79,4.24
2.04,Premium,H,SI2,58.0,58.0,11820,8.45,8.36,4.88
0.9,Very Good,G,SI2,63.2,58.0,3787,6.05,6.1,3.84
1.0,Premium,F,VS2,61.9,59.0,5606,6.38,6.34,3.94
0.23,Very Good,G,VVS1,61.5,56.0,484,3.92,3.96,2.42
0.52,Good,H,VS2,63.6,57.0,1289,5.05,5.1,3.23
1.53,Ideal,J,VS2,61.4,58.0,7550,7.35,7.43,4.54
0.41,Very Good,E,VS1,62.2,58.0,954,4.74,4.78,2.96
1.5,Premium,J,SI1,60.5,59.0,6806,7.38,7.47,4.49
1.58,Premium,J,SI1,59.8,58.0,7654,7.61,7.57,4.54
0.37,Premium,E,SI1,61.8,58.0,833,4.64,4.59,2.85
0.32,Ideal,E,VS1,61.6,55.0,898,4.43,4.46,2.74
1.52,Ideal,G,SI1,60.7,57.0,9530,7.38,7.41,4.49
0.52,Very Good,E,VS2,62.8,55.0,1621,5.11,5.15,3.22
0.33,Good,I,SI1,63.2,58.0,445,4.36,4.38,2.76
0.91,Ideal,E,SI2,61.5,56.0,3898,6.23,6.2,3.82
0.57,Ideal,F,VS2,61.7,57.0,1754,5.33,5.36,3.3
1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05
0.96,Ideal,G,SI2,62.1,57.0,3871,6.32,6.27,3.91
2.21,Ideal,I,SI1,61.6,57.0,18062,8.38,8.43,5.18
0.94,Ideal,D,SI2,62.2,56.0,5155,6.24,6.27,3.89
2.2,Premium,H,SI2,58.2,59.0,11147,8.52,8.47,4.94
0.43,Ideal,F,SI1,61.6,57.0,1016,4.85,4.8,2.97
1.57,Ideal,E,SI2,61.4,56.0,10550,7.52,7.44,4.59
0.54,Ideal,D,SI1,62.1,56.0,1786,5.25,5.21,3.25
0.71,Ideal,D,VS2,61.2,57.0,4029,5.72,5.76,3.51
0.41,Fair,H,SI1,65.4,61.0,659,4.51,4.63,2.99
1.0,Good,G,VS2,63.8,58.0,5242,6.37,6.29,4.04
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37
0.92,Premium,D,SI2,62.4,58.0,4168,6.18,6.19,3.86
0.62,Premium,G,VS2,60.9,59.0,1841,5.52,5.48,3.35
1.33,Ideal,H,VS2,59.5,57.0,8385,7.18,7.23,4.29
0.33,Very Good,G,SI1,61.1,59.0,492,4.42,4.45,2.71
0.7,Good,I,VS2,59.4,57.0,2234,5.77,5.82,3.44
0.36,Ideal,F,VS1,62.5,57.0,789,4.53,4.56,2.84
1.01,Ideal,J,SI2,61.4,56.0,3997,6.44,6.47,3.97
0.32,Ideal,D,VS2,62.7,54.0,972,4.38,4.36,2.74
0.35,Ideal,H,IF,60.8,56.0,1017,4.61,4.6,2.8
0.7,Ideal,E,VS2,61.5,56.0,2940,5.73,5.68,3.51
0.8,Ideal,G,VS2,60.1,57.0,2550,6.05,6.02,3.63
1.03,Very Good,H,VS2,62.0,58.0,5266,6.45,6.51,4.02
1.56,Good,J,VS2,62.3,64.0,8107,7.41,7.36,4.6
1.22,Premium,I,SI2,62.3,58.0,4831,6.8,6.85,4.25
0.7,Very Good,E,SI1,63.3,58.0,1926,5.63,5.57,3.55
0.7,Premium,G,SI1,60.3,58.0,2170,5.73,5.77,3.47
0.4,Ideal,G,VVS1,61.6,57.0,1123,4.75,4.76,2.93
0.31,Ideal,I,VVS2,61.6,57.0,698,4.39,4.35,2.69
0.4,Ideal,F,VVS2,62.0,56.0,1085,4.76,4.73,2.94
1.14,Ideal,J,SI2,61.5,57.0,4212,6.73,6.77,4.15
0.63,Premium,F,SI2,60.3,61.0,1351,5.55,5.5,3.33
1.09,Ideal,H,SI1,61.1,57.0,5219,6.71,6.62,4.07
2.02,Very Good,E,SI1,59.8,59.0,18731,8.11,8.2,4.88
0.3,Ideal,E,VVS1,61.1,56.0,918,4.36,4.38,2.67
1.5,Good,F,SI2,59.7,61.0,8181,7.39,7.44,4.43
0.7,Premium,J,SI1,62.8,59.0,1844,5.65,5.6,3.53
1.51,Very Good,E,VS2,62.4,58.0,13623,7.26,7.33,4.55
1.06,Very Good,I,SI1,60.4,59.0,4267,6.56,6.61,3.98
0.3,Ideal,H,IF,62.1,57.0,764,4.29,4.31,2.67
1.22,Very Good,F,VS2,62.3,57.0,8575,6.8,6.84,4.25
0.34,Premium,D,SI1,61.2,58.0,626,4.47,4.49,2.74
0.42,Ideal,D,VVS2,61.7,57.0,1132,4.8,4.82,2.97
0.32,Very Good,D,VVS1,61.6,54.0,1015,4.4,4.43,2.72
0.91,Good,J,I1,63.1,57.0,1945,6.06,6.12,3.84
0.79,Ideal,E,SI1,60.3,56.0,3171,5.99,6.05,3.63
1.51,Ideal,F,VS2,63.0,55.0,14414,7.29,7.24,4.58
